item	itemLabel
Q1544702	Greene Washington Caldwell
Q1544902	Greg Ganske
Q1544943	Greg Laughlin
Q1545023	Gregg Harper
Q1545391	Gregory Meeks
Q1545423	Gregory W. Carman
Q1545724	Grenville M. Dodge
Q1546423	Peter W. Strader
Q15466	William Thomas Hamilton
Q1547512	Richard Ray
Q1547785	Grove L. Johnson
Q1549250	Lucius Q. C. Lamar
Q1549279	William Butler
Q1549474	Herman P. Kopplemann
Q1550104	Thomas Lawson Price
Q1550731	Lewis A. Brigham
Q1550838	W. Jasper Talbert
Q1551051	John M. Sandidge
Q1551193	William N. Sweeney
Q1551562	John M. Slack, Jr.
Q1551859	John Q. Tufts
Q1551941	Mike Blouin
Q1552215	William M. Robbins
Q1552470	Thomas Boles
Q1553159	Walbridge A. Field
Q1553207	Harold Hagen
Q1553556	James N. Burnes
Q1553819	Guilford Wiley Wells
Q1554054	Richard Olney
Q1554136	Guinn Williams
Q1554733	Joe L. Evins
Q1555314	Gus Bilirakis
Q1555437	William Strong
Q1556541	Kyrsten Sinema
Q1556825	Gustavus Miller Bower
Q1557023	Theodore Arlington Bell
Q1557233	Isaac M. Jordan
Q1557258	Verner Main
Q1557379	James W. Reid
Q1557466	James Young
Q1557475	Lionel Allen Sheldon
Q1557539	Guy M. Bryan
Q1557595	Guy U. Hardy
Q1557599	Guy Vander Jagt
Q1557973	Alexander Smyth
Q1558105	Thomas M. Eaton
Q1558125	Richard Ottinger
Q1558701	Philip Phillips
Q1558755	Samuel Thatcher
Q1559137	John Baptista Ashe
Q1559485	Tom Tauke
Q155985	Rick Santorum
Q1559995	Philip R. Thompson
Q1561398	Samuel D. Woods
Q1561630	William L. May
Q1562541	H. Allen Smith
Q1562565	H. Casey Young
Q1562567	H. Clay Evans
Q1562581	H. Garland Dupré
Q1562618	H. R. Gross
Q1563170	Nathan Bryan
Q1563293	John A. Rockwell
Q1563302	John Manning, Jr.
Q1563985	Lawrence E. Imhoff
Q1564503	Louis C. Rabaut
Q1564861	John Allen
Q1565145	William Oscar Mulkey
Q1565863	Solomon F. Prouty
Q1566633	Stanton J. Peelle
Q1566733	John Bernard
Q1567156	Thomas Hale Boggs, Sr.
Q1568746	Samuel Swinfin Burdett
Q1569378	Thomas S. Gettys
Q1570026	Robert A. Young
Q1570036	William Haile
Q1570100	Hal Daub
Q1570117	Otis Halbert Holmes
Q1570342	Thomas Bines
Q1570348	Halbert E. Paine
Q1570579	William Coxe, Jr.
Q1570815	Haldor Boen
Q1571195	John Adams Hyman
Q1571334	Paul C. Edmunds
Q1571504	Samuel Griffin
Q1571669	Hallett Sydney Ward
Q1572340	John Floyd
Q1572510	Halvor Steenerson
Q1573464	Hamilton C. Jones
Q1573501	Hamilton Fish III
Q1574095	Louise Goff Reece
Q1574867	John Thomson Mason, Jr.
Q1575054	Rick White
Q1575680	Lucien J. Maciora
Q1576153	Hannibal Lafayette Godwin
Q1577301	Horace Worth Vaughan
Q1578906	James Frankland Briggs
Q1579534	Mason Tappan
Q1580751	Joel Heatwole
Q1580814	Robert C. Davey
Q1581000	Joshua Herrick
Q1581134	William George Thompson
Q1581508	Hernando Money
Q1585446	Harlan Erwin Mitchell
Q1585452	Harlan Hagen
Q1585515	Harley Orrin Staggers
Q1585518	Harley O. Staggers, Jr.
Q1585779	Harold C. Hollenbeck
Q1585783	Harold C. McGugin
Q1585795	Harold Dunbar Cooley
Q1585803	Harold Daniel Donohue
Q1585810	Harold Earthman
Q1585815	Harold Francis Youngblood
Q1585826	Harold Ford, Sr.
Q1585828	Harold Giles Hoffman
Q1585865	Harold L. Runnels
Q1585904	Harold Patten
Q1585915	Harold S. Sawyer
Q1585936	Harold T. Johnson
Q1585940	Harold Vernon Froehlich
Q1585941	Harold Lee Volkmer
Q1586109	John Denison Baldwin
Q1586202	Mathew Harris Ellsworth
Q1586255	Harrison A. Williams
Q1586263	Harrison H. Wheeler
Q1586268	Harrison Gray Otis
Q1586269	Harrison Henry Atwood
Q1586279	Harrison Kelley
Q1586385	John Anderson
Q1586419	Harry C. Canfield
Q1586421	Harry C. Gahn
Q1586423	Harry C. Woodyard
Q1586461	Harry E. Hull
Q1586462	Harry E. Rowbottom
Q1586464	Harry E. Narey
Q1586483	Solomon Hillen, Jr.
Q1586506	Harry G. Haskell Jr.
Q1586561	Harry Hibbard
Q1586579	Harry Irving Thayer
Q1586615	Harry L. Maynard
Q1586620	Harry Lancaster Towe
Q1586639	Harry Libbey
Q1586648	Harry M. Wurzbach
Q1586656	Harry M. Coudrey
Q1586714	Harry R. Sheppard
Q1586761	Harry Sandager
Q1586830	Harry Teague
Q1586857	Harry W. Musselwhite
Q1587889	Harvey Butler Fergusson
Q1587914	Harvey Magee Watterson
Q1588206	Samuel C. Forker
Q1588796	Hastings Keith
Q1589764	Oscar W. Swift
Q1589847	David B. Mellish
Q1589864	John B. Haskin
Q1589873	Richard Schell
Q1589895	Stephen A. Rudd
Q1589909	David J. O'Connell
Q1590217	John M. Wood
Q1590540	Eugene James Keogh
Q1590575	James H. O'Brien
Q1590652	Henry C. Miner
Q1590682	Anson Herrick
Q1590745	Edward Haight
Q1590771	Thomas J. Bradley
Q1590783	William Augustus Darling
Q1590789	Andrew Petersen
Q1590822	Preston Brooks
Q1592008	Hays B. White
Q1592467	Heartsill Ragon
Q1592480	Michael A. Andrews
Q1592517	Heath Shuler
Q1592720	S. Hubert Dent, Jr.
Q1593098	Richard Kidder Meade
Q1593248	Hedge Thompson
Q1593249	Isaac Thomas
Q1594897	Morton C. Hunter
Q1595120	Lucas M. Miller
Q1595668	Jon Lynn Christensen
Q15963996	David Jolly
Q159684	Virgil Goode
Q159720	Tom Tancredo
Q1597653	Michael J. Kirwan
Q1598651	Oscar Raymond Luhring
Q1599617	Henry Moore Baker
Q1599761	Robert Condon
Q1599806	Robert Porter Caldwell
Q1599913	Marshall Van Winkle
Q1600446	Albert C. Willford
Q1601608	William Adams Dawson
Q1601626	William Lowndes
Q1601785	John Alexander Cocke
Q1601833	Helen Douglas Mankin
Q1601865	Helen Stevenson Meyner
Q1602135	Timothy Davis
Q1602312	Mark Andrew Green
Q1602499	Henry Waldron
Q1602816	John Blades Clarke
Q1603837	Sidney Edgerton
Q1604267	William P. Kimball
Q1604398	James Grafton Spencer
Q1604686	Heman Allen
Q1604955	Henderson Lovelace Lanham
Q1604966	Henderson M. Jacoway
Q1604974	Hendley S. Bennett
Q1605321	Steve Stockman
Q1605401	Samuel Wadsworth Gould
Q1605667	Walter Forward
Q1605716	Peter G. Torkildsen
Q160582	Michele Bachmann
Q1605970	William Cogswell
Q1606416	Thomas Croxton
Q1606417	Henry Aldous Dixon
Q1606422	Henry Alexander Scammell Dearborn
Q1606442	Henry A. Coffeen
Q1606461	Henry B. González
Q1606470	Henry B. Lovering
Q1606477	Henry B. Payne
Q1606481	Henry B. Sayler
Q1606527	Henry Bowen
Q16065586	Edward Howell
Q1606562	Henry C. Deming
Q1606566	Henry C. Loudenslager
Q1606568	Henry C. Hansbrough
Q1606569	Henry C. Martindale
Q1606570	Henry C. Schadeberg
Q1606572	Henry C. Snodgrass
Q1606644	Henry Cullen Adams
Q1606646	Henry D. Flood
Q1606649	Henry Dominique Larcade, Jr.
Q1606651	Henry D. Moorman
Q1606653	Henry Daniel
Q1606664	Henry De Lamar Clayton, Jr.
Q1606677	Henry Dixon Allen
Q1606683	O'Brien Smith
Q1606695	Henry Clarence Dworshak
Q1606698	Henry E. Stubbs
Q1606715	Henry F. Lawrence
Q1606719	Henry F. Naphen
Q1606724	Henry F. Niedringhaus
Q1606727	Henry F. Thomas
Q1606736	Henry Fisk Janes
Q1606767	Henry G. Worthington
Q1606803	Henry Graybill Lamar
Q1606804	Henry Gray Turner
Q1606811	Henry Grider
Q1606823	Henry H. Starkweather
Q1606845	Henry Helstoski
Q1606886	Henry Hosford Gurley
Q1606905	Henry J. B. Cummings
Q1606907	Henry J. Spooner
Q1606965	Henry L. Bowles
Q1606967	Henry L. Jost
Q1606968	Henry L. Muldrow
Q1606971	Henry L. Pinckney
Q1607000	Henry M. Kimball
Q1607004	Henry M. Ridgely
Q1607013	Henry Marchmore Shaw
Q1607034	Henry McMorran
Q1607065	Henry Moses Pollard
Q1607098	Henry Oscar Talle
Q1607105	Henry Olin
Q1607117	Henry Otis Pratt
Q1607121	Henry P. Cheatham
Q1607152	Henry Persons
Q1607161	Henry Poehler
Q160717	Tom Lantos
Q1607186	Henry R. Brinkerhoff
Q1607192	Henry R. Gibson
Q1607193	Henry R. Harris
Q1607230	Henry S. Caulfield
Q1607235	Henry S. Magoon
Q1607251	Henry Selby Clark
Q1607257	Henry Shaw
Q1607270	Henry Smith
Q1607275	Henry St. George Tucker, Sr.
Q1607293	Henry Swearingen
Q1607297	Henry T. Ellett
Q1607334	Henry U. Johnson
Q1607353	Henry Vollmer
Q1607354	Henry W. Barry
Q1607357	Henry W. Dwight
Q1607360	Henry W. Harrington
Q1607367	Henry W. Seymour
Q1607382	Henry Warren Ogden
Q1607386	Henry Washington Hilliard
Q1607389	Henry Watterson
Q1607416	Henry William Connor
Q1607444	Henry Z. Osborne
Q1607589	Henson Moore
Q1607676	John W. Boehne
Q1607976	Herbert Alton Meyer
Q1608149	Herbert Covington Bonner
Q1608387	Herbert H. Bateman
Q1608402	Herbert Harris
Q1608516	Herbert J. Drane
Q1608617	Herbert Klein
Q1608971	John Logan Chipman
Q1608998	Herbert S. Bigelow
Q1609249	Herbert W. Taylor
Q1609294	Herbert Wesley Cummings
Q1609405	Samuel F. Swope
Q1610232	Herman Dahle
Q1610249	Herman Carl Andersen
Q1610284	Herman L. Humphrey
Q1610417	Leonard Boswell
Q1610970	William Neff Patman
Q1611558	William Harrison Martin
Q1612382	Ira W. Wood
Q1612756	William J. Sears
Q1613444	John W. Kendall
Q1613625	Ralph Isaacs Ingersoll
Q1613865	James Lockhart
Q1614350	Herron C. Pearson
Q1614381	Alexander G. Penn
Q1614528	Herschel H. Hatch
Q1614530	Herschel M. Hogg
Q16145531	Carol Miller
Q16146788	Jim Banks
Q1614966	Robert Taft, Jr.
Q1615286	Richard French
Q1616418	William Brown
Q1616921	Milton Brown
Q1617045	Hezekiah Williams
Q1617050	Hezekiah Bradley Smith
Q1617137	Tom Feeney
Q1617406	J. McKenzie Moss
Q1617485	John F. Seiberling
Q16189291	Cresent Hardy
Q1619015	Nick Begich
Q1619212	James Cochran
Q1619220	John Bragg
Q1619224	John Nicholson
Q1619264	Josiah Masters
Q1619277	George Hyde Fallon
Q1619314	Marjorie Holt
Q1619320	George Gale
Q1619365	Tom McMillen
Q1619366	Thomas J. Dodd
Q1619372	Albert Wynn
Q16194212	John Moolenaar
Q16194422	Troy Balderson
Q16195097	Gwen Graham
Q16195304	Steve Russell
Q16196710	Ross Spano
Q16196834	Mike Bishop
Q16196923	Pat Fallon
Q16197299	Mark Takai
Q16197421	Bruce Westerman
Q1619758	Nathaniel Littlefield
Q16199304	Andy Biggs
Q1620114	Hiram Belcher
Q1620121	Hiram Kinsman Evans
Q1620131	Hiram Price
Q1620132	Hiram R. Burton
Q1620134	Hiram Sanford Stevens
Q1620137	Hiram B. Warner
Q1620363	Samuel Beach Axtell
Q16205227	Ritchie Torres
Q16206735	Jennifer Wexton
Q1621025	Samuel L. Crocker
Q1621096	Tim Mahoney
Q16213961	Thomas Garrett, Jr.
Q1621403	John Stockdale Rhea
Q1621829	Jim Courter
Q16218474	Ruben Gallego
Q1622009	William M. Richardson
Q16221257	Lee Zeldin
Q16221742	Matt Gaetz
Q16224587	Mark Green
Q16225780	Yvette Herrell
Q162269	Jefferson Davis
Q162355	James Francis Miller
Q16240994	Buddy Carter
Q1624820	Joseph M. Kendall
Q1624853	Oscar E. Bland
Q1625052	Michael Aloysius Feighan
Q1625922	Walter Lafferty
Q1625954	Thomas W. Harrison
Q1626007	Homer C. Parker
Q1626013	Homer Elihu Royce
Q1626026	Homer L. Lyon
Q1626038	Homer Thornberry
Q162622	Larry McDonald
Q1626247	John Linder
Q1626737	Lester L. Wolff
Q1627254	Norman D'Amours
Q1627666	Hopkins Holsey
Q1627671	Hopkins L. Turney
Q1627855	Horace Everett
Q1627857	Horace F. Bartine
Q1627859	Horace F. Page
Q1627863	Horace G. Snover
Q1627873	Horace Harrison
Q1627898	Horace Mann Towner
Q1627908	Horace Seely-Brown, Jr.
Q1628072	Richard Kelly
Q1628156	J. William Stokes
Q1628398	Tom Perriello
Q1628646	Lyne Metcalfe
Q1628712	William Warner
Q1629347	Kent Hance
Q1629877	Thomas Alexander Marshall
Q163000	S. Harrison White
Q1630327	Hosea Moffitt
Q1630330	Hosea Townsend
Q1630331	Hosea Washington Parker
Q1630344	Jed Johnson
Q1631037	Rockwood Hoar
Q1631709	Howard Aldridge Coffin
Q1631743	Howard C. Nielson
Q1631754	Howard Coble
Q1631764	Mahlon Dickerson Manson
Q163179	Clarence Andrew Cannon
Q1631824	Bo Callaway
Q1631826	Howard Baker, Sr.
Q1631939	Howard Worth Smith
Q1631977	Howell Cobb
Q1632551	James Madison Hughes
Q1633053	Hubert B. Scudder
Q1633109	Hubert D. Stephens
Q1633142	Hubert Fisher
Q1633181	Hubert H. Peavey
Q1634238	Hugh Buchanan
Q1634245	Hugh Caperton
Q1634282	Hugh De Lacy
Q1634320	Hugh F. Finley
Q1634380	Hugh H. Price
Q1634414	Hugh Joseph Addonizio
Q1634437	Hugh Lawson White Hill
Q1634482	Hugh Mitchell
Q1634511	Hugh Peterson
Q1634670	Lucien B. Caswell
Q1636841	Alexander H. Jones
Q1637248	John A. Buchanan
Q1637249	Humphrey H. Leavitt
Q1637659	James Mann
Q1638108	William A. Dickson
Q1638124	Hunter Holmes Moss, Jr.
Q1638165	Paine Wingate
Q1638310	William B. Calhoun
Q1638624	John R. Thayer
Q1638787	Jacob Falconer
Q1638925	James Dennis Brady
Q163894	Thomas C. Platt
Q1638956	Luther C. Carter
Q1638994	Jim Turner
Q1639374	John Moore
Q163957	Pierre Samuel du Pont IV
Q1639662	William S. Archer
Q1639976	Melvin Clark George
Q164014	George Nethercutt
Q1641461	Thomas Dickens Arnold
Q1643538	Malcolm C. Tarver
Q164529	George M. Brooks
Q1645320	Ozro J. Dodds
Q1645378	William E. Tuttle, Jr.
Q164552	Hines Holt
Q1645624	John J. Milligan
Q1646067	James H. Cassidy
Q1646263	J. J. Pickle
Q1646391	Josiah Quincy III
Q1646449	Thomas H. Bayly
Q1647301	Tom Graves
Q1647593	John Wesley Crockett
Q16476	Mazie Hirono
Q1647934	Joseph Calhoun
Q1648099	Samuel Hopkins
Q1648489	Thomas M. Paschal
Q1648671	Robert L. Mouton
Q1648740	John Albert Tiffin Hull
Q1649326	James S. Davenport
Q1649606	William H. Wade
Q164985	Henry Jarvis Raymond
Q1650242	William Henry Hill
Q1650338	Robert William Davis
Q1650370	William S. Groesbeck
Q1650427	L. M. Gensman
Q1650446	Toby Roth
Q1650705	William Thomas Ellis
Q1651144	John H. Marsalis
Q1651726	Wayne Hays
Q1651860	James William Trimble
Q1652602	Winston L. Prouty
Q1653288	Michael D. White
Q1653704	Otto Ernest Passman
Q1654107	William Dickson
Q1654162	William Francis James
Q1655532	Orval H. Hansen
Q1655638	Martin Kinsley
Q1656018	Lester Johnson
Q1656171	John Henry Bowen
Q1656192	Sam B. Hall
Q1656270	LaFayette L. Patterson
Q1656667	Samuel Winslow
Q1656798	Scott Field
Q1657385	James Love
Q1657639	Timothy Pilsbury
Q165778	David Addison Reese
Q1658089	Ike Franklin Andrews
Q1658292	John M. Evans
Q1658425	John F. Snodgrass
Q1658561	William C. Maybury
Q1659364	Albert Gallup
Q1659375	John P. Cushman
Q1659394	Gerrit Y. Lansing
Q1659524	Daniel D. Barnard
Q1659533	Jeremiah Russell
Q1659551	Silas Stow
Q1659983	Alexander Campbell
Q1660006	Samuel McKee
Q1660437	Joshua A. Lowell
Q1660603	Richard Pillsbury Gale
Q1661034	Thomas Charles McGrath, Jr.
Q1661379	Larry Combest
Q1661398	John Brown
Q166149	Paul Rogers
Q1661951	Martin A. Foran
Q1661979	James Bamford White
Q1662375	James P. Buchanan
Q1662994	John Lesinski, Jr.
Q1663143	John W. Harreld
Q166390	Thomas M. Rees
Q1664202	Thomas Hall
Q1664205	Orestes Cleveland
Q1664289	Numa F. Montet
Q1664334	John Calhoon
Q1664365	Truman H. Aldrich
Q1664399	Willa McCord Blake Eslick
Q1664440	Joe Skeen
Q1665147	William E. Wilson
Q1665332	Lewis Condict
Q1665636	Raymond W. Karst
Q1665725	Robert J. Lagomarsino
Q1665842	Phil Roe
Q1666802	William Robert Poage
Q1667470	William Blackledge
Q1667529	William Nathan Harrell Smith
Q1667920	Russ Carnahan
Q1668187	James G. O'Hara
Q1668192	John Daniel Clardy
Q1668288	Albert Lee Reeves, Jr.
Q1668316	John S. Bigby
Q1668373	Melvin Claude Snyder
Q1668494	James E. Bromwell
Q166850	Charles J. Colden
Q1668842	Wingate Hezekiah Lucas
Q1668959	Simeon H. Anderson
Q1669201	William Parker Caldwell
Q1669217	John C. Schafer
Q166928	Chris Cannon
Q1669554	John M. Coghlan
Q1669682	Nathan Read
Q1669822	Allan Langdon McDermott
Q1669936	James Parker
Q1669944	Richard Parker
Q1670125	John E. McCall
Q1670203	William Johnson Stone
Q1670253	John Williams Shackelford
Q1670426	John J. Fitzgerald
Q1670530	Seymour H. Person
Q1670599	Lucien Anderson
Q1670935	Thomas J. D. Fuller
Q1671030	John A. Elston
Q1671317	Jack Edwards
Q1672315	Ira Allen Eastman
Q1672317	Ira B. Hyde
Q167233	Hugh J. Anderson
Q1672332	Ira Sherwin Hazeltine
Q1672710	Patrick H. Pope
Q16728087	Curt Clawson
Q16731273	Jake LaTurner
Q16731415	Debbie Lesko
Q16731643	Barry Loudermilk
Q1673260	Irvin S. Pepper
Q1673264	Irvine Lenroot
Q16733285	Dan Newhouse
Q1673360	Isaac Bacharach
Q1673374	Isaac Coles
Q1673375	Isaac D. Young
Q1673382	Isaac E. Crary
Q1673387	Isaac Fletcher
Q1673388	Isaac G. Farlee
Q1673392	Isaac H. Duval
Q1673420	Isaac McKim
Q1673430	Alfred Dockery
Q1673435	Isaac Pierson
Q1673437	Isaac Reed
Q1673441	Isaac Roberts Hawkins
Q1673445	Isaac S. Struble
Q1673446	Isaac Smith
Q1673447	Isaac Southard
Q1673453	Isaac V. McPherson
Q1673458	Isaac W. Van Schaick
Q1673578	James Cochran
Q1673594	Isabella Greenway
Q1673684	Isaiah D. Clawson
Q1674086	William McCreery
Q1674090	Nicholas Ruxton Moore
Q1674104	James Carroll
Q1674106	Alexander McKim
Q1674112	Peter Little
Q1674135	Herman D. Gould
Q1674146	Thomas Clayton
Q1674403	John W. A. Sanford
Q1674465	Joseph R. Pitts
Q1674597	Israel G. Lash
Q167472	William Barnett
Q1675455	John Lamb
Q1675610	W. Benjamin Gibbs
Q1675894	Robert Brank Vance
Q1676061	Robert W. Everett
Q1676257	J. Allen Barber
Q1676260	J. Alfred Taylor
Q1676274	J. Bob Traxler
Q1676291	J. Campbell Cantrill
Q1676304	J. D. Hayworth
Q1676313	J. Edwin Ellerbe
Q1676329	J. Hale Sypher
Q1676333	J. Hart Brewer
Q1676335	J. Herbert Burke
Q1676348	J. Leroy Johnson
Q1676357	J. Mark Wilcox
Q1676365	J. Murray Hooker
Q1676374	John Parnell Thomas
Q1676390	J. Roy Rowland
Q1676394	J. Russell Tuten
Q1676403	J. Scott Wolff
Q1676405	J. Smith Young
Q1676407	J. Stanley Webster
Q1676411	J. Swagar Sherley
Q1676413	J. T. Rutherford
Q1676415	Jacob Thompson Baker
Q1676422	Julian Vaughan Gary
Q1676426	J. Wiley Edmands
Q1676471	Nick Galifianakis
Q1676607	Joseph Henry Burrows
Q1676646	Walter Russell Stiness
Q1676839	Jabez G. Sutherland
Q1676846	Jabez W. Huntington
Q1676886	Silas Reynolds Barton
Q1676907	Robert H. Clancy
Q1677029	Jack English Hightower
Q1677049	Jack H. McDonald
Q1677076	James P. Walker
Q1677321	Jackson B. Chase
Q1677359	Jackson Orr
Q1677405	Jacob Atlee Beidler
Q1677423	Jacob Augustus Geissenhainer
Q1677425	Jacob B. Blair
Q1677432	Jacob Benton
Q1677442	Jacob C. Isacks
Q1677445	Jacob Call
Q1677457	Jacob Crowninshield
Q1677459	Jacob D. Leighty
Q1677464	Jacob Edwin Meeker
Q1677469	Jacob Erdman
Q1677476	Philip Ruppe
Q1677501	Jacob Golladay
Q1677507	Jacob H. Stewart
Q1677523	Jacob Hufty
Q1677533	Jacob Johnson
Q1677562	Jacob L. Milligan
Q1677577	Jacob M. Howard
Q1677588	Jacob Montgomery Thornburgh
Q1677615	Jacob R. Wortendyke
Q1677648	Jacob Thorkelson
Q1677675	Jacob Yost
Q167795	James Murray Mason
Q1678219	Lemuel Whitman
Q1678408	Paul Brown
Q167866	John C. Houk
Q1678828	Robert Hale
Q1679207	Albert R. Howe
Q167965	John H. Fulton
Q1679884	James A. Barcia
Q1679888	James A. Black
Q1679889	James A. Bayard
Q1679891	James A. Frear
Q1679892	James A. Cravens
Q1679893	James A. Gallivan
Q1679894	James Alphonsus Hamill
Q1679897	James A. Hemenway
Q1679898	James A. Louttit
Q1679904	James A. Shanley
Q1679906	James A. Walker
Q1679917	James Abercrombie
Q1679923	James Adams Stallworth
Q1679931	James Albertus Tawney
Q1679933	James Alexander Daugherty
Q1679942	James Seddon
Q1679952	James Andrew Beall
Q1679960	James Archibald Meriwether
Q1679973	James Burns Belford
Q1679975	James B. Beck
Q1679976	James B. Bowlin
Q1679980	James B. Foley
Q1679985	James B. Longley, Jr.
Q1679988	James B. Morgan
Q1679991	James B. Reynolds
Q1679994	James B. Utt
Q1680003	James Bain White
Q1680014	James Bates
Q1680023	James Bede
Q1680029	James Benjamin Aswell
Q1680034	James B. Frazier, Jr.
Q1680040	James Blair
Q1680049	Richard Coke, Jr.
Q168005	Philip Doddridge
Q1680056	James Bouldin
Q1680065	James Broadhead
Q1680070	James Brown Clay
Q1680072	James Brown Mason
Q1680076	James Buchanan
Q1680093	James C. Alvord
Q1680094	James Coats Auchincloss
Q1680096	James C. Freeman
Q1680102	James C. Harper
Q1680110	Jim Marshall
Q1680111	James C. McLaughlin
Q1680115	James C. Oliver
Q1680122	James C. McDearmon
Q1680128	James Capehart
Q1680135	James Carr
Q1680141	James Carson Gardner
Q1680142	Sam L. Collins
Q1680144	James Castle
Q1680162	James Chrisman
Q1680166	James McGrew
Q1680177	James Coffield Mitchell
Q1680180	James Colgate Cleveland
Q1680193	James Cooney
Q1680195	James Cooper
Q1680209	James Cox
Q1680217	James Craig
Q1680229	James Curran Davis
Q1680234	James D. Breckinridge
Q1680235	James D. Martin
Q1680243	James D. Richardson
Q1680248	James David Santini
Q1680266	James Dellet
Q1680279	James Dixon
Q1680281	James Domengeaux
Q1680303	James Duane Doty
Q1680319	James Edmund Jeffries
Q1680325	James Edward Ruffin
Q1680329	James Edwin Belser
Q1680336	James Ellsworth Noland
Q1680346	James Ervin
Q1680349	James F. Epes
Q1680350	James F. Fulbright
Q1680353	James F. Hughes
Q1680354	James F. Izlar
Q1680356	James F. McDowell
Q1680357	James F. McNulty, Jr.
Q1680359	James F. O'Connor
Q1680362	James F. Randolph
Q1680369	James F. Strother
Q1680370	James F. Strother
Q1680373	James Farrington
Q1680378	James Ferguson Dowdell
Q168038	Peterson Goodwyn
Q1680382	James Findlay
Q1680392	James Floyd Breeding
Q1680411	James Franklin Clay
Q1680413	James Franklin Battin
Q1680416	James G. Blair
Q1680420	James G. Hampton
Q1680421	James G. King
Q1680423	James G. Maguire
Q1680426	James G. Monahan
Q1680428	James G. Strong
Q1680437	James Garland
Q168044	Francis E. Rives
Q1680469	James Graham
Q1680483	James H. Cravens
Q1680484	James H. Duncan
Q1680487	James H. Goss
Q1680492	James H. Jones
Q1680493	James H. MacLafferty
Q1680494	James H. Maloney
Q1680495	James Hobson Morrison
Q1680497	James H. Platt, Jr.
Q1680500	James H. Sinclair
Q1680501	James H. Slater
Q1680504	Jim Weaver
Q1680535	James H. Davis
Q1680539	James Hay
Q1680545	James Henderson Blount
Q1680547	James Henderson Imlay
Q1680549	James Henry Dickey Henderson
Q168055	John Teunis Bergen
Q1680551	James Henry Randolph
Q1680552	James Henry McLean
Q1680566	James Holland
Q1680581	James Houston Thomas
Q1680585	James Hugh Relfe
Q1680588	James Hughes
Q1680591	James Hutchins Johnson
Q1680606	James Israel Standifer
Q168061	Isaac Leffler
Q1680615	James J. Faran
Q1680620	James J. Howard
Q1680627	James Jackson
Q1680630	James Jefferson Britt
Q1680634	James Johnson
Q1680635	James Johnson
Q1680636	James Johnson Lindley
Q1680642	James Joseph Butler
Q1680659	James Kee
Q1680689	James L. Pugh
Q1680690	James La Fayette Evans
Q1680693	James Laird
Q1680706	James Lindsay Seward
Q1680728	James Luther Slayden
Q1680729	James M. Beck
Q1680731	James M. Broom
Q1680732	James M. Clarke
Q1680733	James M. Collins
Q1680738	James M. Gregg
Q1680740	James M. Gudger, Jr.
Q1680743	James M. Jackson
Q1680744	James M. Hinds
Q1680746	James M. Pendleton
Q1680753	James MacKay
Q1680754	James Machir
Q1680758	James Manahan
Q1680761	James Manning Tyler
Q1680773	James Matlack
Q1680787	James McCleery
Q1680788	James M. Robinson
Q1680800	James McLachlan
Q1680816	James Meriwether
Q1680820	James Shannon
Q1680836	James Minor Quarles
Q1680840	James Mitchell Ashley
Q1680849	James Monroe Miller
Q1680861	James Mott
Q1680864	James Mullins
Q1680876	James N. Pidcock
Q1680903	Wells Goodykoontz
Q1680906	James Norton
Q1680925	James Owen
Q1680928	James O'Connor
Q1680931	James O'Donnell
Q1680932	James O'H. Patterson
Q1680936	James P. Glynn
Q1680937	James P. Geelan
Q1680946	James P. Woods
Q1680954	James Patrick Sutton
Q1680956	James Patton Flick
Q1680970	James Perry Conner
Q1680976	James Phelan, Jr.
Q1680977	James Phelps
Q1680988	James Pike
Q1680989	James Pindall
Q1681001	James Prioleau Richards
Q1681009	James R. Lofland
Q1681015	Kenneth W. Dyal
Q1681023	James Rariden
Q1681036	James Richard Waddill
Q1681052	James Robinson McCormick
Q1681055	James Rogers
Q1681061	James S. Brown
Q1681066	James S. Gorman
Q1681068	James S. Green
Q1681070	James S. Rollins
Q1681074	James S. Wiley
Q1681092	James Sheafe
Q1681098	James Shields
Q1681111	James Sloan
Q1681120	James Sprigg
Q1681123	James Stevens
Q1681129	James Stewart
Q1681144	James Strudwick Smith
Q1681165	James Thomas Patterson
Q1681179	James Thomas Heflin
Q1681188	James Thorington
Q1681195	James Tilghman Lloyd
Q1681220	James Turner Morehead
Q1681222	James V. McClintic
Q1681230	James Vernon Smith
Q1681239	James W. Bryan
Q1681242	James W. Gazlay
Q1681255	James W. McDill
Q1681258	James W. Overstreet
Q1681263	James W. Patterson
Q1681265	J. W. Robinson
Q1681266	James W. Symington
Q1681267	James W. Wilkin
Q1681272	James Walter Elder
Q1681290	James W. Ripley
Q1681294	James Whitney Dunn
Q1681295	James Wickersham
Q1681296	James Collier
Q1681301	James William Marshall
Q1681306	James Williams
Q1681311	James Wilson
Q1681312	James Wilson
Q1681320	James Witherell
Q1681331	James Z. Spearing
Q168148	Peter Hercules Wendover
Q168149	Henry B. Banning
Q168168	Charles Elwood Brown
Q1682882	Hamilton D. Coleman
Q1683345	John Runk
Q1683476	Jared Perkins
Q1683483	Jared Williams
Q1683484	Jared Y. Sanders, Jr.
Q1683567	John Johns Trigg
Q1683770	William Thomas Ward
Q1683881	Jason Chaffetz
Q1683966	Jason Niles
Q1684009	John Samuel Sherburne
Q1684039	Jasper Packard
Q1684300	Jay Abel Hubbell
Q1684313	Jay Dickey
Q1684374	Jay W. Johnson
