item	itemLabel
Q1064670	Charles H. Larrabee
Q1064671	Charles H. Martin
Q1064674	Charles H. Leavy
Q1064675	Charles H. Page
Q1064684	Charles H. Peaslee
Q1064686	Charles H. Porter
Q1064695	Charles H. Taylor
Q1064699	Charles H. Upton
Q1064700	Charles H. Voorhis
Q1064707	Charles H. Weisse
Q1064708	Charles H. Wilson
Q1064716	Charles Hall Dillon
Q1064718	Charles Haight
Q1064752	Charles Harrison Brown
Q1064761	Charles Hawks, Jr.
Q1064770	Charles Hays
Q1064774	Charles Hayes
Q1064793	Charles Henderson Yoakum
Q1064811	Charles Henry Morgan
Q1064821	Charles Henry Sloan
Q1064832	Charles Herbert Joyce
Q1064848	Charles Hillyer Brand
Q1064856	Charles Hiram Randall
Q1064868	Charles Hooks
Q1064907	Charles Hudson
Q1064921	Charles Humphrey Atherton
Q1064937	Charles I. Stengle
Q1064939	Charles I. Sparks
Q1064982	Charles J. Boatner
Q1064984	Charles J. Faulkner
Q1064987	Charles J. Carney
Q1064991	Charles J. Gilman
Q1065087	Charles Johnson
Q1065136	Charles K. Bell
Q1065143	Charles K. Wheeler
Q1065174	Charles Kinsey
Q1065194	Charles Kramer
Q1065211	Charles L. Faust
Q1065220	Charles Laceille Gifford
Q1065221	Charles L. Henry
Q1065230	Charles L. Moses
Q1065231	Charles L. Richards
Q1065236	Charles L. South
Q1065238	Charles L. Scott
Q1065240	Charles L. Underhill
Q1065248	Charles Laban Abernethy
Q1065249	Charles Lafayette Bartlett
Q1065396	Charles M. Borchers
Q1065404	Charles M. La Follette
Q1065410	Charles M. Teague
Q1065412	Charles M. Shelley
Q1065426	Charles Magill Conrad
Q1065436	Charles Manly Stedman
Q1065454	Charles Marsh
Q1065548	Charles Montague Bakewell
Q1065580	Charles Murphey
Q1065601	Charles N. Fowler
Q1065605	Charles N. Felton
Q1065622	Charles Nelson Clark
Q1065626	Charles Nelson Pray
Q1065664	Charles O. Lobeck
Q1065674	Charles O. Porter
Q1065683	Charles Orville Whitley
Q1065702	Charles O'Connor
Q1065710	Charles P. Snyder
Q1065712	Charles P. Nelson
Q1065727	Chip Pashayan
Q1065743	Charles Pelham
Q1065752	Charles Perkins Thompson
Q1065770	Charles Phelps Taft
Q1065799	Charles Pomeroy
Q1065818	Charles Q. Tirrell
Q1065830	Charles R. Buckalew
Q1065831	Charles Russell Clason
Q1065832	Charles R. Crisp
Q1065836	Charles R. Howell
Q1065837	Charles R. Evans
Q1065843	Charles R. Farnsley
Q1065844	Charles R. Jonas
Q1065850	Charles Raymond Robertson
Q1065851	Charles R. Savage
Q1065857	Charles R. Thomas
Q1065860	Charles R. Thomas
Q1065862	Charles R. Train
Q1065880	Charles Ready
Q1065904	Charles Risk
Q1065931	Charles Robin Britt
Q1065960	Charles Russell Davis
Q1065970	Charles Gubser
Q1065971	Charles S. Hartman
Q1065975	Charles S. Lewis
Q1065986	Charles S. Randall
Q1066002	Charles Samuel Joelson
Q1066085	Charles Sitgreaves
Q1066088	Charles Skelton
Q1066139	Charles Stetson
Q1066145	Charles Stewart
Q1066194	Charles Swindall
Q1066205	Charles T. Doxey
Q1066222	Charles Tatgenhorst, Jr.
Q1066267	Charles Turner, Jr.
Q1066281	Charles Upson
Q1066285	Charles V. Truax
Q1066296	Charles Van Wyck
Q1066329	Charles W. Bell
Q1066335	Charles W. Buttz
Q1066341	Charles W. Cathcart
Q1066346	Charles W. F. Dick
Q1066348	Charles W. Henney
Q1066354	Charles W. McClammy
Q1066355	Charles W. Milliken
Q1066360	Charles W. Roark
Q1066364	Charles W. Sandman, Jr.
Q1066368	Charles W. Walton
Q1066375	Charles W. Willard
Q1066382	Charles Waldron Buckley
Q1066403	Charles L. Weltner
Q1066411	Charles Wentworth Upham
Q1066416	Charles West Kendall
Q1066475	Charles Wilson Pierce
Q1066478	Charles Winston Thompson
Q1066931	Charlie Luken
Q1067999	Chase G. Woodhouse
Q1068403	Chauncey B. Little
Q1068406	Chauncey L. Knapp
Q1070444	Cherubusco Newton
Q1070663	Chester B. McMullen
Q1070671	Chester Bidwell Darrall
Q1070677	Chester C. Bolton
Q1070701	Chester D. Hubbard
Q1070709	Chester E. Holifield
Q1070710	Chester Earl Merrow
Q1070716	Chester G. Atkins
Q1070734	Chester L. Mize
Q1070746	Chester W. Chapin
Q1070753	Chester W. Taylor
Q1073044	Chilton Allan
Q1074506	Chip Cravaack
Q1074964	Chittenden Lyon
Q1075776	Choice B. Randell
Q1076991	Chris Bell
Q1077380	Chris John
Q1077474	Chris Lee
Q10775614	Mills Gardner
Q10775657	John S. Savage
Q10775699	John Quincy Smith
Q1077594	Chris Murphy
Q1077819	Chris Van Hollen
Q10854092	Harry N. Routzohn
Q1086446	Christopher A. Bergen
Q1086536	Christopher C. Bowen
Q1086542	Christopher C. Upson
Q1086571	Christopher Columbus Harris
Q1086715	Christopher Harris Williams
Q1086909	Christopher Rankin
Q1086925	Christopher Robinson
Q1086964	Chris Shays
Q1087070	Christopher Thomas
Q1089112	Charles Douglas III
Q10913034	William Lawrence
Q109463	Richard Mentor Johnson
Q1094726	Clair Armstrong Callan
Q1094733	Clair Burgener
Q1094741	Clair Engle
Q1095185	Clara G. McMillan
Q1095307	Clare Eugene Hoffman
Q1095314	Clare Magee
Q1095364	Clarence B. Miller
Q1095387	Clarence Clifton Young
Q1095388	Clarence D. Van Duzer
Q1095411	Clarence Emir Allen
Q1095418	Clarence Godber Burton
Q1095419	Clarence Frederick Lea
Q1095449	Clarence J. McLeod
Q1095483	Clarence MacGregor
Q1095525	Clarence W. Turner
Q1095683	Clark Burdick
